KNr	A	B	C	Gene	Function
K13417	multiple functions	multiple functions	multiple functions	SERK4, BKK1	somatic embryogenesis receptor kinase 4 [EC:2.7.10.1 2.7.11.1]
K13418	brite hierarchies	protein families: metabolism	protein kinases [br:ko01001]	SERK1	somatic embryogenesis receptor kinase 1 [EC:2.7.10.1 2.7.11.1]
K13419	brite hierarchies	protein families: metabolism	protein kinases [br:ko01001]	pknK	serine/threonine-protein kinase PknK [EC:2.7.11.1]
K13420	multiple functions	multiple functions	multiple functions	FLS2	LRR receptor-like serine/threonine-protein kinase FLS2 [EC:2.7.11.1]
K13421	metabolism	general metabolism	general metabolism	UMPS	uridine monophosphate synthetase [EC:2.4.2.10 4.1.1.23]
K13422	multiple functions	multiple functions	multiple functions	MYC2	transcription factor MYC2
K13423	multiple functions	multiple functions	multiple functions	WRKY25	WRKY transcription factor 25
K13424	multiple functions	multiple functions	multiple functions	WRKY33	WRKY transcription factor 33
K13425	multiple functions	multiple functions	multiple functions	WRKY22	WRKY transcription factor 22
K13426	multiple functions	multiple functions	multiple functions	WRKY29	WRKY transcription factor 29
K13427	multiple functions	multiple functions	multiple functions	NOA1	nitric-oxide synthase, plant [EC:1.14.13.39]
K13428	multiple functions	multiple functions	multiple functions	EFR	LRR receptor-like serine/threonine-protein kinase EFR [EC:2.7.11.1]
K13429	multiple functions	multiple functions	multiple functions	CERK1	chitin elicitor receptor kinase 1
K13430	multiple functions	multiple functions	multiple functions	PBS1	serine/threonine-protein kinase PBS1 [EC:2.7.11.1]
K13431	multiple functions	multiple functions	multiple functions	SRPR	signal recognition particle receptor subunit alpha
K13432	multiple functions	multiple functions	multiple functions	PTI4	pathogenesis-related genes transcriptional activator PTI4
K13433	multiple functions	multiple functions	multiple functions	PTI5	pathogenesis-related genes transcriptional activator PTI5
K13434	multiple functions	multiple functions	multiple functions	PTI6	pathogenesis-related genes transcriptional activator PTI6
K13435	multiple functions	multiple functions	multiple functions	PTO	serine/threonine-protein kinase Pto
K13436	multiple functions	multiple functions	multiple functions	PTI1	pto-interacting protein 1 [EC:2.7.11.1]
K13437	multiple functions	multiple functions	multiple functions	XA21	receptor kinase-like protein
K13438	not included in pathway or brite	unclassified: signaling and cellular processes	signaling proteins	RETN	resistin
K13439	multiple functions	multiple functions	multiple functions	avrRpt2	cysteine protease avirulence protein AvrRpt2 [EC:3.4.22.-]
K13440	multiple functions	multiple functions	multiple functions	avrPphB	cysteine protease avirulence protein AvrPphB [EC:3.4.22.-]
K13441	multiple functions	multiple functions	multiple functions	RCR3	cysteine protease
K13442	brite hierarchies	protein families: metabolism	peptidases and inhibitors [br:ko01002]	CAPN14	calpain-14 [EC:3.4.22.-]
K13443	multiple functions	multiple functions	multiple functions	NPC2	Niemann-Pick C2 protein
K13444	cellular processes	transport and catabolism	lysosome [path:ko04142]	SUMF1, FGE	formylglycine-generating enzyme [EC:1.8.3.7]
K13445	organismal systems	environmental adaptation	plant-pathogen interaction [path:ko04626]	AVR9	race-specific elicitor A9
K13446	organismal systems	environmental adaptation	plant-pathogen interaction [path:ko04626]	CF9	disease resistance protein
K13447	multiple functions	multiple functions	multiple functions	RBOH	respiratory burst oxidase [EC:1.6.3.- 1.11.1.-]
K13448	organismal systems	environmental adaptation	plant-pathogen interaction [path:ko04626]	CML	calcium-binding protein CML
K13449	multiple functions	multiple functions	multiple functions	PR1	pathogenesis-related protein 1
K13450	multiple functions	multiple functions	multiple functions	ospF, mkaD, spvC	phosphothreonine lyase [EC:4.2.3.-]
K13451	organismal systems	environmental adaptation	plant-pathogen interaction [path:ko04626]	avrPto1	type III effector protein AvrPto1
K13452	organismal systems	environmental adaptation	plant-pathogen interaction [path:ko04626]	hopAB, avrPtoB	effector protein HopAB [EC:6.3.2.-]
K13453	organismal systems	environmental adaptation	plant-pathogen interaction [path:ko04626]	PRF	disease resistance protein
K13454	organismal systems	environmental adaptation	plant-pathogen interaction [path:ko04626]	avrRpm1	type III effector protein AvrRpm1
K13455	organismal systems	environmental adaptation	plant-pathogen interaction [path:ko04626]	avrXccC, avrB	avirulence protein
K13456	organismal systems	environmental adaptation	plant-pathogen interaction [path:ko04626]	RIN4	RPM1-interacting protein 4
K13457	organismal systems	environmental adaptation	plant-pathogen interaction [path:ko04626]	RPM1, RPS3	disease resistance protein RPM1
K13458	organismal systems	environmental adaptation	plant-pathogen interaction [path:ko04626]	RAR1	disease resistance protein
K13459	organismal systems	environmental adaptation	plant-pathogen interaction [path:ko04626]	RPS2	disease resistance protein RPS2
K13460	organismal systems	environmental adaptation	plant-pathogen interaction [path:ko04626]	RPS5	disease resistance protein RPS5
K13461	not included in pathway or brite	unclassified: signaling and cellular processes	signaling proteins	hopM1	effector protein HopM1
K13462	not included in pathway or brite	unclassified: signaling and cellular processes	signaling proteins	MIN7	guanine nucleotide-exchange factor
K13463	multiple functions	multiple functions	multiple functions	COI-1	coronatine-insensitive protein 1
K13464	environmental information processing	signal transduction	plant hormone signal transduction [path:ko04075]	JAZ	jasmonate ZIM domain-containing protein
K13465	organismal systems	environmental adaptation	plant-pathogen interaction [path:ko04626]	EIX	ethylene-1,4-beta-xylanase [EC:3.2.1.8]
K13466	organismal systems	environmental adaptation	plant-pathogen interaction [path:ko04626]	EIX1_2	EIX receptor 1/2
K13467	organismal systems	environmental adaptation	plant-pathogen interaction [path:ko04626]	AVR2	Avr2 protein
K13468	organismal systems	environmental adaptation	plant-pathogen interaction [path:ko04626]	K13468, CF2	disease resistance protein
K13469	organismal systems	environmental adaptation	plant-pathogen interaction [path:ko04626]	AVR4	race-specific elicitor A4
K13470	organismal systems	environmental adaptation	plant-pathogen interaction [path:ko04626]	CF4	disease resistance protein
K13471	organismal systems	environmental adaptation	plant-pathogen interaction [path:ko04626]	CF5	disease resistance protein
K13472	organismal systems	environmental adaptation	plant-pathogen interaction [path:ko04626]	raxST	sulfotransferase
K13473	organismal systems	environmental adaptation	plant-pathogen interaction [path:ko04626]	CEBIP	chitin elicitor-binding protein
K13474	organismal systems	environmental adaptation	plant-pathogen interaction [path:ko04626]	A10	AvrA10 protein
K13475	organismal systems	environmental adaptation	plant-pathogen interaction [path:ko04626]	MLA10	R protein MLA10
K13476	organismal systems	environmental adaptation	plant-pathogen interaction [path:ko04626]	AvrL567	AvrL567 protein
K13477	organismal systems	environmental adaptation	plant-pathogen interaction [path:ko04626]	L6	R protein L6
K13478	organismal systems	environmental adaptation	plant-pathogen interaction [path:ko04626]	popP2	type III effector protein PopP2
K13479	metabolism	nucleotide metabolism	purine metabolism [path:ko00230]	ygeT, xdhB	xanthine dehydrogenase FAD-binding subunit [EC:1.17.1.4]
K13480	metabolism	nucleotide metabolism	purine metabolism [path:ko00230]	ygeU, xdhC	xanthine dehydrogenase iron-sulfur-binding subunit
K13481	metabolism	nucleotide metabolism	purine metabolism [path:ko00230]	xdhA	xanthine dehydrogenase small subunit [EC:1.17.1.4]
K13482	metabolism	nucleotide metabolism	purine metabolism [path:ko00230]	xdhB	xanthine dehydrogenase large subunit [EC:1.17.1.4]
K13483	metabolism	nucleotide metabolism	purine metabolism [path:ko00230]	yagT	xanthine dehydrogenase YagT iron-sulfur-binding subunit
K13484	multiple functions	multiple functions	multiple functions	TTHL	5-hydroxyisourate hydrolase / 2-oxo-4-hydroxy-4-carboxy-5-ureidoimidazoline decarboxylase [EC:3.5.2.17 4.1.1.97]
K13485	metabolism	nucleotide metabolism	purine metabolism [path:ko00230]	PRHOXNB, URAD	2-oxo-4-hydroxy-4-carboxy-5-ureidoimidazoline decarboxylase [EC:4.1.1.97]
K13486	environmental information processing	signal transduction	two-component system [path:ko02020]	wspC	chemotaxis protein methyltransferase WspC
K13487	multiple functions	multiple functions	multiple functions	wspA	methyl-accepting chemotaxis protein WspA
K13488	multiple functions	multiple functions	multiple functions	wspB	chemotaxis-related protein WspB
K13489	multiple functions	multiple functions	multiple functions	wspD	chemotaxis-related protein WspD
K13490	multiple functions	multiple functions	multiple functions	wspE	two-component system, chemotaxis family, sensor histidine kinase and response regulator WspE
K13491	multiple functions	multiple functions	multiple functions	wspF	two-component system, chemotaxis family, response regulator WspF [EC:3.1.1.61]
K13492	metabolism	metabolism of terpenoids and polyketides	zeatin biosynthesis [path:ko00908]	ZOG1	zeatin O-glucosyltransferase [EC:2.4.1.203]
K13493	multiple functions	multiple functions	multiple functions	UGT76C1_2	cytokinin-N-glucosyltransferase [EC:2.4.1.-]
K13494	metabolism	metabolism of terpenoids and polyketides	zeatin biosynthesis [path:ko00908]	ZOX1	zeatin O-xylosyltransferase [EC:2.4.2.40]
K13495	metabolism	metabolism of terpenoids and polyketides	zeatin biosynthesis [path:ko00908]	CISZOG	cis-zeatin O-glucosyltransferase [EC:2.4.1.215]
K13496	multiple functions	multiple functions	multiple functions	UGT73C	UDP-glucosyltransferase 73C [EC:2.4.1.-]
K13497	metabolism	amino acid metabolism	phenylalanine, tyrosine and tryptophan biosynthesis [path:ko00400]	trpGD	anthranilate synthase/phosphoribosyltransferase [EC:4.1.3.27 2.4.2.18]
K13498	metabolism	amino acid metabolism	phenylalanine, tyrosine and tryptophan biosynthesis [path:ko00400]	trpCF	indole-3-glycerol phosphate synthase / phosphoribosylanthranilate isomerase [EC:4.1.1.48 5.3.1.24]
K13499	multiple functions	multiple functions	multiple functions	CHSY	chondroitin sulfate synthase [EC:2.4.1.175 2.4.1.226]
K13500	multiple functions	multiple functions	multiple functions	fcbD	chondroitin synthase [EC:2.4.1.175 2.4.1.226]
K13501	metabolism	amino acid metabolism	phenylalanine, tyrosine and tryptophan biosynthesis [path:ko00400]	TRP1	anthranilate synthase / indole-3-glycerol phosphate synthase / phosphoribosylanthranilate isomerase [EC:4.1.3.27 4.1.1.48 5.3.1.24]
K13502	multiple functions	multiple functions	multiple functions	STX4	syntaxin 4
K13503	metabolism	amino acid metabolism	phenylalanine, tyrosine and tryptophan biosynthesis [path:ko00400]	trpEG	anthranilate synthase [EC:4.1.3.27]
K13504	multiple functions	multiple functions	multiple functions	VAMP2	vesicle-associated membrane protein 2
K13505	multiple functions	multiple functions	multiple functions	VAMP3	vesicle-associated membrane protein 3
K13506	multiple functions	multiple functions	multiple functions	GPAT3_4, AGPAT9, AGPAT6	glycerol-3-phosphate O-acyltransferase 3/4 [EC:2.3.1.15]
K13507	multiple functions	multiple functions	multiple functions	GAT	glycerol-3-phosphate O-acyltransferase / dihydroxyacetone phosphate acyltransferase [EC:2.3.1.15 2.3.1.42]
K13508	multiple functions	multiple functions	multiple functions	GPAT	glycerol-3-phosphate acyltransferase [EC:2.3.1.15 2.3.1.198]
K13509	multiple functions	multiple functions	multiple functions	AGPAT1_2	lysophosphatidate acyltransferase [EC:2.3.1.51]
K13510	multiple functions	multiple functions	multiple functions	LPCAT1_2	lysophosphatidylcholine acyltransferase / lyso-PAF acetyltransferase [EC:2.3.1.23 2.3.1.67]
K13511	multiple functions	multiple functions	multiple functions	TAZ	monolysocardiolipin acyltransferase [EC:2.3.1.-]
K13512	multiple functions	multiple functions	multiple functions	LPCAT4, AGPAT7	lysophospholipid acyltransferase [EC:2.3.1.23 2.3.1.-]
K13513	multiple functions	multiple functions	multiple functions	LCLAT1, AGPAT8	lysocardiolipin and lysophospholipid acyltransferase [EC:2.3.1.- 2.3.1.51]
K13514	multiple functions	multiple functions	multiple functions	LPGAT1	lysophosphatidylglycerol acyltransferase 1 [EC:2.3.1.-]
K13515	multiple functions	multiple functions	multiple functions	LPCAT3, MBOAT5	lysophospholipid acyltransferase 5 [EC:2.3.1.23 2.3.1.-]
K13516	multiple functions	multiple functions	multiple functions	MBOAT7	lysophospholipid acyltransferase 7 [EC:2.3.1.-]
K13517	multiple functions	multiple functions	multiple functions	MBOAT1_2	lysophospholipid acyltransferase 1/2 [EC:2.3.1.51 2.3.1.-]
K13519	multiple functions	multiple functions	multiple functions	LPT1, ALE1	lysophospholipid acyltransferase [EC:2.3.1.51 2.3.1.23 2.3.1.-]
K13520	multiple functions	multiple functions	multiple functions	icsP, sopA	outer membrane protease [EC:3.4.23.-]
K13521	brite hierarchies	protein families: metabolism	peptidases and inhibitors [br:ko01002]	CASP15	caspase 15
K13522	metabolism	metabolism of cofactors and vitamins	nicotinate and nicotinamide metabolism [path:ko00760]	K13522, nadM	bifunctional NMN adenylyltransferase/nudix hydrolase [EC:2.7.7.1 3.6.1.-]
K13523	multiple functions	multiple functions	multiple functions	AGPAT3_4	lysophosphatidic acid acyltransferase / lysophosphatidylinositol acyltransferase [EC:2.3.1.51 2.3.1.-]
K13524	multiple functions	multiple functions	multiple functions	ABAT	4-aminobutyrate aminotransferase / (S)-3-amino-2-methylpropionate transaminase [EC:2.6.1.19 2.6.1.22]
K13525	multiple functions	multiple functions	multiple functions	VCP, CDC48	transitional endoplasmic reticulum ATPase
K13526	not included in pathway or brite	unclassified: metabolism	enzymes with ec numbers	ATP13A2	cation-transporting P-type ATPase 13A2 [EC:7.2.2.-]
K13527	multiple functions	multiple functions	multiple functions	mpa	proteasome-associated ATPase
K13528	brite hierarchies	protein families: genetic information processing	transcription machinery [br:ko03021]	MED20	mediator of RNA polymerase II transcription subunit 20
K13529	multiple functions	multiple functions	multiple functions	ada-alkA	AraC family transcriptional regulator, regulatory protein of adaptative response / DNA-3-methyladenine glycosylase II [EC:3.2.2.21]
K13530	brite hierarchies	protein families: genetic information processing	general protein families: genetic information processing	adaA	AraC family transcriptional regulator, regulatory protein of adaptative response / methylphosphotriester-DNA alkyltransferase methyltransferase [EC:2.1.1.-]
K13531	brite hierarchies	protein families: genetic information processing	dna repair and recombination proteins [br:ko03400]	adaB	methylated-DNA-[protein]-cysteine S-methyltransferase [EC:2.1.1.63]
K13532	multiple functions	multiple functions	multiple functions	kinD	two-component system, sporulation sensor kinase D [EC:2.7.13.3]
K13533	multiple functions	multiple functions	multiple functions	kinE	two-component system, sporulation sensor kinase E [EC:2.7.13.3]
K13534	metabolism	lipid metabolism	glycerolipid metabolism [path:ko00561]	PNPLA3	patatin-like phospholipase domain-containing protein 3 [EC:3.1.1.3 2.3.1.-]
K13535	metabolism	lipid metabolism	glycerophospholipid metabolism [path:ko00564]	CLD1	cardiolipin-specific phospholipase [EC:3.1.1.-]
K13536	multiple functions	multiple functions	multiple functions	MARCKSL1, MRP	MARCKS-related protein
K13537	multiple functions	multiple functions	multiple functions	CPB	cysteine peptidase B [EC:3.4.22.-]
K13538	brite hierarchies	protein families: metabolism	peptidases and inhibitors [br:ko01002]	CPA	cysteine peptidase A [EC:3.4.22.-]
K13539	brite hierarchies	general brite hierarchies	general brite hierarchies	LMLN	leishmanolysin-like peptidase [EC:3.4.24.-]
K13540	metabolism	metabolism of cofactors and vitamins	porphyrin and chlorophyll metabolism [path:ko00860]	cobIJ	precorrin-2 C20-methyltransferase / precorrin-3B C17-methyltransferase [EC:2.1.1.130 2.1.1.131]
K13541	metabolism	metabolism of cofactors and vitamins	porphyrin and chlorophyll metabolism [path:ko00860]	cbiGH-cobJ	cobalt-precorrin 5A hydrolase / cobalt-factor III methyltransferase / precorrin-3B C17-methyltransferase [EC:3.7.1.12 2.1.1.272 2.1.1.131]
